time_s,nominal_input_flux,stored_energy_state,oscillator_displacement,release_velocity_state,wall_heat_flux_proxy,acoustic_power_proxy
18.36,1.0,1.8035009957154575,0.007001991430915095,-0.007845199037975434,0.9997667383191724,0.0
18.38,1.0,1.8034223017382167,0.0068446034764332074,-0.007869397724094403,0.9997657797496847,0.0
18.400000000000002,1.0,1.8033433709899103,0.006686741979820272,-0.007893074830646768,0.9997648352828195,0.0
18.42,1.0,1.8032642087026394,0.006528417405278584,-0.007916228727084411,0.999763905015029,0.0
18.44,1.0,1.8031848201244651,0.006369640248930216,-0.007938857817418384,0.9997629890419187,0.0
18.46,1.0,1.803105210519062,0.006210421038123646,-0.007960960540328464,0.9997620874582387,0.0
18.48,1.0,1.8030253851653693,0.0060507703307382385,-0.007982535369270414,0.999761200357875,0.0
18.5,1.0,1.8029453493572434,0.005890698714486619,-0.008003580812580962,0.9997603278338411,0.0
18.52,1.0,1.8028651084031075,0.0057302168062150095,-0.008024095413580483,0.9997594699782697,0.0
18.54,1.0,1.8027846676256007,0.005569335251201542,-0.00804407775067337,0.9997586268824044,0.0
18.56,1.0,1.8027040323612264,0.00540806472245262,-0.008063526437446115,0.9997577986365908,0.0
18.580000000000002,1.0,1.8026232079599986,0.0052464159199973595,-0.008082440122763048,0.9997569853302689,0.0
18.6,1.0,1.8025421997850901,0.005084399570180164,-0.008100817490859773,0.9997561870519647,0.0
18.62,1.0,1.8024610132124759,0.004922026424951479,-0.008118657261434266,0.9997554038892817,0.0
18.64,1.0,1.8023796536305785,0.004759307261156766,-0.008135958189735639,0.9997546359288932,0.0
18.66,1.0,1.8022981264399118,0.004596252879823755,-0.008152719066650556,0.9997538832565341,0.0
18.68,1.0,1.802216437052724,0.004432874105448009,-0.008168938718787312,0.9997531459569929,0.0
18.7,1.0,1.8021345908926385,0.004269181785276858,-0.00818461600855755,0.9997524241141038,0.0
18.72,1.0,1.802052593394296,0.004105186788591745,-0.008199749834255619,0.9997517178107386,0.0
18.740000000000002,1.0,1.8019704500029945,0.003940900005989034,-0.008214339130135577,0.9997510271287993,0.0
18.76,1.0,1.8018881661743298,0.0037763323486593174,-0.008228382866485804,0.9997503521492099,0.0
18.78,1.0,1.8018057473738327,0.0036114947476652923,-0.00824188004970126,0.9997496929519094,0.0
18.8,1.0,1.8017231990766092,0.0034463981532182253,-0.008254829722353347,0.9997490496158433,0.0
18.82,1.0,1.8016405267669766,0.0032810535339530774,-0.008267230963257398,0.9997484222189564,0.0
18.84,1.0,1.8015577359381012,0.0031154718762023224,-0.008279082887537764,0.9997478108381855,0.0
18.86,1.0,1.8014748320916343,0.002949664183268512,-0.008290384646690513,0.9997472155494518,0.0
18.88,1.0,1.8013918207373478,0.0027836414746956377,-0.008301135428643735,0.9997466364276534,0.0
18.900000000000002,1.0,1.8013087073927696,0.002617414785539329,-0.008311334457815423,0.9997460735466581,0.0
18.92,1.0,1.801225497582818,0.0024509951656359495,-0.008320980995168975,0.9997455269792962,0.0
18.94,1.0,1.8011421968394354,0.0022843936788706242,-0.008330074338266262,0.9997449967973531,0.0
18.96,1.0,1.8010588107012222,0.0021176214024442586,-0.008338613821318288,0.9997444830715625,0.0
18.98,1.0,1.8009753447130699,0.00195068942613959,-0.00834659881523343,0.9997439858715992,0.0
19.0,1.0,1.800891804425793,0.0017836088515863248,-0.008354028727663262,0.9997435052660718,0.0
19.02,1.0,1.8008081953957626,0.0016163907915254059,-0.008360903003045947,0.9997430413225166,0.0
19.04,1.0,1.8007245231845364,0.001449046369072462,-0.00836722112264719,0.9997425941073897,0.0
19.06,1.0,1.8006407933584903,0.0012815867169804864,-0.008372982604598789,0.9997421636860613,0.0
19.080000000000002,1.0,1.800557011488451,0.0011140229769017922,-0.008378187003934712,0.9997417501228079,0.0
19.1,1.0,1.8004731831493246,0.0009463662986492968,-0.00838283391262477,0.9997413534808066,0.0
19.12,1.0,1.8003893139197287,0.0007786278394571803,-0.008386922959605832,0.9997409738221282,0.0
19.14,1.0,1.8003054093816204,0.0006108187632409683,-0.008390453810810598,0.9997406112077307,0.0
19.16,1.0,1.8002214751199286,0.0004429502398570895,-0.00839342616919394,0.9997402656974524,0.0
19.18,1.0,1.800137516722181,0.00027503344436195386,-0.00839583977475678,0.9997399373500068,0.0
19.2,1.0,1.8000535397781354,0.00010707955627060333,-0.008397694404567526,0.9997396262229746,0.0
19.22,1.0,1.7999695498794075,-6.0900241185018046e-05,-0.008398989872781069,0.9997393323727995,0.0
19.240000000000002,1.0,1.7998855526191009,-0.0002288947617981242,-0.008399726030655308,0.9997390558547803,0.0
19.26,1.0,1.7998015535914353,-0.00039689281712942893,-0.008399902766565237,0.9997387967230658,0.0
19.28,1.0,1.7997175583913751,-0.0005648832172497203,-0.00839952000601457,0.9997385550306486,0.0
19.3,1.0,1.7996335726142587,-0.0007328547714826187,-0.008398577711644914,0.9997383308293594,0.0
19.32,1.0,1.7995496018554262,-0.0009007962891474684,-0.008397075883242485,0.9997381241698609,0.0
19.34,1.0,1.7994656517098488,-0.0010686965803023158,-0.008395014557742365,0.9997379351016421,0.0
19.36,1.0,1.7993817277717565,-0.001236544456486922,-0.008392393809230307,0.9997377636730128,0.0
19.38,1.0,1.7992978356342673,-0.0014043287314657634,-0.00838921374894207,0.9997376099310982,0.0
19.400000000000002,1.0,1.7992139808890146,-0.0015720382219709696,-0.008385474525260308,0.9997374739218327,0.0
19.42,1.0,1.7991301691257775,-0.0017396617484451496,-0.008381176323708996,0.9997373556899551,0.0
19.44,1.0,1.799046405932108,-0.0019071881357840574,-0.008376319366945394,0.9997372552790033,0.0
19.46,1.0,1.7989626968929606,-0.0020746062140790484,-0.00837090391474956,0.9997371727313086,0.0
19.48,1.0,1.7988790475903205,-0.0022419048193592765,-0.008364930264011396,0.9997371080879908,0.0
19.5,1.0,1.7987954636028332,-0.0024090727943335815,-0.008358398748715244,0.9997370613889531,0.0
19.52,1.0,1.798711950505434,-0.002576098989132022,-0.008351309739922026,0.9997370326728771,0.0
19.54,1.0,1.7986285138689766,-0.0027429722620470006,-0.00834366364574892,0.9997370219772176,0.0
19.56,1.0,1.7985451592598631,-0.0029096814802739325,-0.008335460911346593,0.9997370293381982,0.0
19.580000000000002,1.0,1.7984618922396742,-0.003076215520651412,-0.008326702018873963,0.9997370547908062,0.0
19.6,1.0,1.7983787183647997,-0.0032425632704008228,-0.008317387487470535,0.9997370983687881,0.0
19.62,1.0,1.7982956431860673,-0.003408713627865348,-0.00830751787322626,0.9997371601046449,0.0
19.64,1.0,1.7982126722483758,-0.0035746555032483275,-0.008297093769148962,0.9997372400296276,0.0
