Time (s),Peak frequency (Hz),Spectral centroid (Hz),Spectral bandwidth (Hz)
175.49847,8544.921875,7698.1030450862445,4305.481757092868
175.918313,8789.0625,8072.579334686515,4190.682999435586
176.338156,8666.9921875,7828.058566458198,4810.0645223225365
176.757999,4516.6015625,7430.152961869298,4342.93227955828
177.177842,8422.8515625,7684.653136592972,4355.3916191465605
177.597685,8544.921875,8503.855845962114,5050.079729945121
178.017528,8666.9921875,7650.932121601188,4963.8736979994155
178.437371,8544.921875,7899.55434701985,5499.160464975557
178.857214,8544.921875,7917.944683434369,4223.696048426227
179.277057,6713.8671875,8874.994654130543,5977.97401876696
179.6969,1220.703125,7373.089171292513,6566.435628971827
180.116743,8544.921875,8206.790620175314,5128.341365511402
180.536586,8544.921875,8550.272062124193,5306.813456856571
180.956429,8544.921875,8293.437887342472,4291.504769826368
181.376272,8544.921875,8196.339688825943,5171.47566873528
181.796115,5004.8828125,7797.609648728113,6359.833622296605
182.215958,8666.9921875,8442.844420440824,4404.231473739104
182.635801,8544.921875,9149.677193134248,6034.166266909005
183.055644,6591.796875,7997.620863185031,5833.876407648527
183.475487,8666.9921875,8142.816866506612,4583.554609304414
183.89533,8422.8515625,8611.445042279864,4480.754228460346
184.315173,9155.2734375,8415.964128441301,5024.717640194966
184.735016,8422.8515625,8375.902432230152,3766.337914516412
185.154859,8789.0625,8424.94111636149,4987.879421133188
185.574702,8422.8515625,8162.337379927435,5255.210242963591
185.994545,8911.1328125,8395.556058150154,5016.988363087952
186.414388,8911.1328125,7828.908856057414,4448.357823351045
186.834231,8544.921875,9087.682186631893,4769.40919738813
187.254074,8300.78125,8595.334299717026,4978.3763059720095
187.673917,8422.8515625,9076.936731994268,5471.174528896351
188.09376,4882.8125,7981.504972219984,5248.929377073264
188.513603,5981.4453125,7119.025891874002,4141.737977515076
188.933446,8666.9921875,8376.490270821781,4991.013739287713
189.353289,8544.921875,7441.793421175477,4711.914086542633
189.773132,8422.8515625,8110.925718089955,4561.079604474428
190.192975,8789.0625,8225.077664606239,5369.923250965177
190.612818,6713.8671875,7335.583692479579,4465.777184320161
191.032661,8544.921875,8519.714410130879,4615.270906336973
191.452504,8544.921875,8705.93776902102,4662.123156265751
191.872347,8666.9921875,8801.400817900252,5083.04365879835
192.29219,8422.8515625,8465.56570500245,5132.769127572756
192.712033,8544.921875,8789.867872872625,5225.864411913606
193.131876,8789.0625,8372.930980843552,5817.198942940479
193.551719,8544.921875,8413.447166115293,4610.537936538996
193.971562,9155.2734375,8820.59074534344,5933.577677899322
194.391405,8422.8515625,7967.259761564827,4546.1408317187215
194.811248,9033.203125,7758.267498186533,4354.828689115908
195.231091,5981.4453125,7502.388503737736,4934.204710569034
195.650934,8544.921875,8363.529859130222,4787.779517046103
196.070777,8544.921875,8270.58744771398,4733.95518478531
196.49062,8544.921875,7680.804644192513,3721.651901763164
196.910463,8544.921875,8176.497316190787,4253.181004424545
197.330306,15380.859375,9379.709841868771,6070.426609442675
197.750149,8422.8515625,7466.850861696176,5155.28487430129
198.169992,8544.921875,7931.786296589231,4675.312646295855
198.589835,8544.921875,8083.505266146094,4856.347794904732
199.009678,8911.1328125,7993.376198263313,5013.537094682437
199.429521,8666.9921875,7868.71453444183,4696.241157726858
199.849364,8422.8515625,8656.348264056738,4876.7954386641
200.269207,8544.921875,7968.309483659669,4635.220975592206
200.68905,8789.0625,8026.863982370254,5042.211783765425
201.108893,8666.9921875,8889.96270474561,4259.209927657528
201.528736,8544.921875,8047.310864631445,4562.608307232278
201.948579,6591.796875,7391.479501848713,4683.137025634248
202.368422,8544.921875,8460.545029464862,4777.848765869321
202.788265,8544.921875,8349.823155892125,4365.75356161798
203.208108,8789.0625,7099.871754505254,4576.083552331292
203.627951,8666.9921875,8194.889840806383,4751.773143403433
204.047794,5249.0234375,7621.634976002372,5187.634993448001
204.467637,4516.6015625,8222.981256510346,5418.3190246246895
204.88748,8544.921875,8588.92167895171,4584.089146402378
