H_min,DeltaT_s_K,m,RSS,within_approx_95pct_profile,RSS_95pct_threshold
0.152,143.75220220349908,2.0266817655812397,0.05193117770034297,True,0.05872281768199147
0.153,143.62821692519205,2.027259963827788,0.05194105178593842,True,0.05872281768199147
0.154,143.50418688224684,2.027840011842419,0.05195096801806037,True,0.05872281768199147
0.155,143.3801110648105,2.0284219549627447,0.051960926658523844,True,0.05872281768199147
0.156,143.25598922039407,2.0290058097681816,0.05197092797127525,True,0.05872281768199147
0.157,143.13182251162647,2.0295915437060033,0.05198097222242294,True,0.05872281768199147
0.158,143.00761010304595,2.0301791936032254,0.051991059680210575,True,0.05872281768199147
0.159,142.88335200607128,2.0307687673855623,0.05200119061507798,True,0.05872281768199147
0.16,142.75904806321574,2.0313602779424142,0.05201136529966954,True,0.05872281768199147
0.161,142.6346987836266,2.0319537162497916,0.052021584008867784,True,0.05872281768199147
0.162,142.5103040335383,2.0325490955724486,0.05203184701979689,True,0.05872281768199147
0.163,142.38586343526816,2.0331464382703497,0.05204215461185027,True,0.05872281768199147
0.164,142.26137701921246,2.033745748689032,0.052052507066726435,True,0.05872281768199147
0.165,142.13684499402774,2.0343470289868524,0.052062904668444286,True,0.05872281768199147
0.166,142.0122670990211,2.0349503016253996,0.05207334770335588,True,0.05872281768199147
0.167,141.88764306771668,2.035555579088894,0.05208383646018604,True,0.05872281768199147
0.168,141.76297328748666,2.036162855350531,0.05209437123005895,True,0.05872281768199147
0.169,141.63825823253694,2.0367721216549834,0.05210495230651616,True,0.05872281768199147
0.17,141.5134965436779,2.037383444674101,0.05211557998549889,True,0.05872281768199147
0.171,141.3886885732309,2.0379968137560365,0.05212625456545403,True,0.05872281768199147
0.17200000000000001,141.26383602462158,2.0386121733570777,0.05213697634734332,True,0.05872281768199147
0.17300000000000001,141.13893596665625,2.0392296442954296,0.052147745634547375,True,0.05872281768199147
0.17400000000000002,141.01399101525644,2.0398491374796675,0.05215856273310327,True,0.05872281768199147
0.17500000000000002,140.88899943788905,2.040470724852374,0.052169427951526445,True,0.05872281768199147
0.176,140.76396179767943,2.041094395515756,0.052180341600971694,True,0.05872281768199147
0.177,140.63887698569727,2.0417202062100888,0.05219130399517415,True,0.05872281768199147
0.178,140.51374722723634,2.042348069667935,0.052202315450604574,True,0.05872281768199147
0.179,140.38857128466415,2.042978051086731,0.05221337628631536,True,0.05872281768199147
0.18,140.2633483622119,2.043610191424466,0.05222448682407544,True,0.05872281768199147
0.181,140.13807979088665,2.0442444431716984,0.05223564738844094,True,0.05872281768199147
0.182,140.01276479590993,2.0448808490149273,0.05224685830666959,True,0.05872281768199147
0.183,139.88740308733813,2.045519432421192,0.05225811990881826,True,0.05872281768199147
0.184,139.76199606526302,2.0461601408283783,0.052269432527813256,True,0.05872281768199147
0.185,139.6365411806409,2.0468030910594783,0.0522807964993115,True,0.05872281768199147
0.186,139.51104116669967,2.0474481764319425,0.05229221216200021,True,0.05872281768199147
0.187,139.3854944246132,2.0480954828936113,0.05230367985733795,True,0.05872281768199147
0.188,139.25990112144441,2.048745005688703,0.05231519992978628,True,0.05872281768199147
0.189,139.13426052474318,2.0493967840527905,0.05232677272674148,True,0.05872281768199147
0.19,139.00857438110543,2.0500507582892586,0.052338398598672155,True,0.05872281768199147
0.191,138.8828412514697,2.0507070000541154,0.05235007789898114,True,0.05872281768199147
0.192,138.75706181539158,2.0513654858635535,0.05236181098420665,True,0.05872281768199147
0.193,138.6312350859923,2.0520262753385525,0.0523735982139164,True,0.05872281768199147
0.194,138.50536321717425,2.0526892807762556,0.05238543995092629,True,0.05872281768199147
0.195,138.37944285643889,2.053354658474447,0.05239733656101689,True,0.05872281768199147
0.196,138.25347643258814,2.0540223147571823,0.052409288413367,True,0.05872281768199147
0.197,138.12746352604768,2.054692271793248,0.05242129588029362,True,0.05872281768199147
0.198,138.00140419726026,2.0553645528393556,0.052433359337373316,True,0.05872281768199147
0.199,137.87529725833227,2.0560392066433417,0.05244547916346452,True,0.05872281768199147
0.2,137.74914422823753,2.056716181602954,0.052457655740845814,True,0.05872281768199147
0.201,137.6229439723134,2.0573955410451865,0.0524698894550662,True,0.05872281768199147
0.202,137.49669718784168,2.058077260473567,0.05248218069516247,True,0.05872281768199147
0.203,137.37040316930685,2.0587613860444614,0.052494529853550034,True,0.05872281768199147
0.20400000000000001,137.24406207015375,2.059447919293651,0.05250693732616823,True,0.05872281768199147
0.20500000000000002,137.1176746161854,2.0601368388589187,0.05251940351249877,True,0.05872281768199147
0.20600000000000002,136.99123958426773,2.06082821322842,0.05253192881549455,True,0.05872281768199147
0.20700000000000002,136.8647584783687,2.061521990320881,0.052544513641822194,True,0.05872281768199147
0.20800000000000002,136.73822984548417,2.0622182428914027,0.052557158401663945,True,0.05872281768199147
0.209,136.61165351980185,2.062916979342929,0.05256986350894229,True,0.05872281768199147
0.21,136.48503117579295,2.06361815539459,0.052582629381344725,True,0.05872281768199147
0.211,136.35836107674805,2.0643218473478018,0.052595456440199403,True,0.05872281768199147
0.212,136.2316439633673,2.065028039147632,0.05260834511072426,True,0.05872281768199147
0.213,136.10487982471795,2.0657367410961704,0.05262129582195286,True,0.05872281768199147
0.214,135.9780686546232,2.066447968587613,0.052634309006795096,True,0.05872281768199147
0.215,135.85121008924853,2.0671617506375193,0.052647385102072355,True,0.05872281768199147
0.216,135.72430432000417,2.067878084274258,0.0526605245486132,True,0.05872281768199147
0.217,135.59735143890592,2.068596982379243,0.05267372779123971,True,0.05872281768199147
0.218,135.4703513495746,2.0693184608659823,0.05268699527883093,True,0.05872281768199147
0.219,135.3433041880648,2.070042530847965,0.05270032746437364,True,0.05872281768199147
0.22,135.21620960480584,2.0707692138028895,0.052713724804995574,True,0.05872281768199147
0.221,135.0890673454105,2.071498537245771,0.05272718776201009,True,0.05872281768199147
0.222,134.9618778279546,2.0722304935820173,0.052740716801018356,True,0.05872281768199147
0.223,134.83464154509795,2.072965076209182,0.05275431239191187,True,0.05872281768199147
0.224,134.70711642349778,2.073714615993378,0.05276797499965376,True,0.05872281768199147
0.225,134.57978187001342,2.074454772645707,0.05278170512093757,True,0.05872281768199147
0.226,134.45240033944575,2.0751976079471945,0.05279550322990178,True,0.05872281768199147
0.227,134.32497070644027,2.0759431799903583,0.052809369814060106,True,0.05872281768199147
0.228,134.19749414946207,2.0766914519026423,0.05282330536548225,True,0.05872281768199147
0.229,134.0699700740835,2.0774424676128076,0.052837310380815225,True,0.05872281768199147
0.23,133.9423982604201,2.078196247357,0.05285138536135403,True,0.05872281768199147
0.231,133.81477865191624,2.0789528087015556,0.05286553081309096,True,0.05872281768199147
0.232,133.68711179160957,2.0797121430452767,0.05287974724677387,True,0.05872281768199147
0.233,133.55939756791386,2.08047426513717,0.05289403517795195,True,0.05872281768199147
0.234,133.43163530812635,2.0812392232716905,0.05290839512702805,True,0.05872281768199147
0.23500000000000001,133.30382537980933,2.0820070110380806,0.05292282761933233,True,0.05872281768199147
0.23600000000000002,133.1759680684974,2.0827776385116126,0.05293733318516454,True,0.05872281768199147
0.23700000000000002,133.04806325340584,2.083551115495102,0.05295191235985668,True,0.05872281768199147
0.23800000000000002,132.92011070133387,2.0843274757875507,0.05296656568382374,True,0.05872281768199147
0.23900000000000002,132.79211013993358,2.085106741606936,0.052981293702632194,True,0.05872281768199147
0.24,132.66406255392812,2.0858888837513176,0.05299609696706741,True,0.05872281768199147
0.241,132.53596673953425,2.0866739710418862,0.053010976033163064,True,0.05872281768199147
0.242,132.40782304400045,2.087462012102222,0.05302593146229558,True,0.05872281768199147
0.243,132.27963181545115,2.0882529923494935,0.0530409638212411,True,0.05872281768199147
0.244,132.15139293721202,2.0890469436705055,0.05305607368222044,True,0.05872281768199147
0.245,132.02310649471093,2.089843867683019,0.05307126162298308,True,0.05872281768199147
0.246,131.89477148033393,2.090643837588383,0.05308652822684606,True,0.05872281768199147
0.247,131.76638946771516,2.091446788221582,0.05310187408281164,True,0.05872281768199147
0.248,131.63795931296366,2.092252792202373,0.05311729978556717,True,0.05872281768199147
0.249,131.50948149735785,2.0930618433467814,0.053132805935605404,True,0.05872281768199147
0.25,131.38095563826406,2.093873977949034,0.05314839313926346,True,0.05872281768199147
0.251,131.25238205105853,2.0946891900954254,0.05316406200881427,True,0.05872281768199147
0.252,131.12376054593722,2.0955075124665488,0.053179813162515355,True,0.05872281768199147
0.253,130.99509114892237,2.0963289591727396,0.05319564722469678,True,0.05872281768199147
0.254,130.8663736411779,2.0971535549937284,0.05321156482582542,True,0.05872281768199147
0.255,130.7376089275014,2.097981276812709,0.05322756660259392,True,0.05872281768199147
0.256,130.60879590989,2.09881219379778,0.05324365319795883,True,0.05872281768199147
0.257,130.47993500525166,2.099646295362685,0.05325982526126235,True,0.05872281768199147
0.258,130.35102614882507,2.1004836139624503,0.05327608344827447,True,0.05872281768199147
0.259,130.22206934370882,2.101324158558701,0.05329242842129185,True,0.05872281768199147
0.26,130.0930648417049,2.1021679409704275,0.05330886084920729,True,0.05872281768199147
0.261,129.96401211047373,2.1030150014479276,0.05332538140758386,True,0.05872281768199147
0.262,129.8349112085476,2.1038653530451197,0.05334199077875163,True,0.05872281768199147
0.263,129.70576305195712,2.104718970397812,0.05335868965189432,True,0.05872281768199147
0.264,129.57656633394853,2.1055759433039136,0.05337547872308529,True,0.05872281768199147
0.265,129.44732202254895,2.1064362314365876,0.05339235869544978,True,0.05872281768199147
0.266,129.31802964377144,2.1072998776129355,0.05340933027918293,True,0.05872281768199147
0.267,129.18868907857822,2.1081669155968905,0.05342639419166528,True,0.05872281768199147
0.268,129.05930072827493,2.109037339122857,0.05344355115756416,True,0.05872281768199147
0.269,128.92986447189256,2.1099111682846257,0.053460801908900395,True,0.05872281768199147
0.27,128.8003800902151,2.110788441271884,0.05347814718514127,True,0.05872281768199147
0.271,128.67084766457063,2.1116691704527857,0.05349558773330939,True,0.05872281768199147
0.272,128.54126721108867,2.1125533771124734,0.05351312430806348,True,0.05872281768199147
0.273,128.41163920595636,2.1134410460426,0.05353075767181158,True,0.05872281768199147
0.274,128.28196297526577,2.114332243649392,0.05354848859476235,True,0.05872281768199147
0.275,128.1522387730563,2.1152269720308325,0.05356631785507814,True,0.05872281768199147
0.276,128.02246635920145,2.1161252667939947,0.0535842462389376,True,0.05872281768199147
0.277,127.89264627791911,2.1170271155126,0.05360227454066786,True,0.05872281768199147
0.278,127.76277792002931,2.1179325779905076,0.05362040356279997,True,0.05872281768199147
