pressure_kpa,T_sat_C,DeltaT_MFB_Berenson_K,T_MFB_Berenson_C,T_MFB_Henry_Cu_C
37.8310502283105,74.52264086253615,39.453926245423425,113.97656710795957,128.91687426681497
38.32876712328767,74.83439370312311,39.879836414890356,114.71423011801346,129.7162836457914
38.826484018264836,75.14275367121036,40.30457072048833,115.44732439169869,130.51052742222473
39.32420091324201,75.44780119727199,40.72814448532843,116.17594568260041,131.29971418334128
39.821917808219176,75.74961381042783,41.15057264090358,116.90018645133142,132.08394879081843
40.31963470319634,76.0482662780023,41.571869741888186,117.62013601989048,132.8633325549049
40.817351598173516,76.34383073673467,41.992049980203326,118.335880716938,133.63796339831987
41.31506849315068,76.6363768162355,42.41112719838995,119.04750401462545,134.40793601065454
41.81278538812785,76.92597175523582,42.829114902335604,119.75508665757143,135.17334199393315
42.31050228310502,77.2126805111285,43.24602627338878,120.45870678451728,135.93426999993622
42.80821917808219,77.49656586326569,43.661874179901424,121.1584400431671,136.69080585985319
43.30593607305936,77.77768851043368,44.076671188230215,121.8543596986639,137.44303270676673
43.80365296803653,78.05610716289851,44.490429573228575,122.54653673612708,138.19103109145402
44.3013698630137,78.33187862938183,44.903161328260886,123.23503995764273,138.9348790919361
44.799086757990864,78.60505789929977,45.31487817475972,123.91993607405948,139.674652417179
45.29680365296804,78.87569822057327,45.72559157136116,124.60128979193442,140.41042450532925
45.794520547945204,79.14385117329334,46.13531272262995,125.27916389592329,141.14226661681522
46.29223744292237,79.40956673950501,46.544052587408274,125.95361932691328,141.8702479226525
46.78995433789954,79.6728933693546,46.95182188680013,126.62471525615473,142.5944355882369
47.28767123287671,79.93387804382428,47.35863111181375,127.29250915563803,143.31489485290354
47.78538812785388,80.19256633426738,47.764490530683176,127.95705686495056,144.03168910552117
48.283105022831045,80.4490024589353,48.16941019587818,128.61841265481348,144.74487995633737
48.78082191780822,80.70322933668047,48.57339995082886,129.2766292875093,145.45452730532037
49.278538812785385,80.95528863800217,48.97646943636856,129.93175807437075,146.1606894071813
49.77625570776255,81.20522083359259,49.37862809691953,130.58384893051212,146.86342293329284
50.273972602739725,81.45306524052927,49.779885186426576,131.23295042695585,147.56278303065926
50.77168949771689,81.69886006624984,50.18024977405567,131.8791098403055,148.2588233781255
51.26940639269406,81.94264245043684,50.579730749667156,132.522373200104,148.9515962399674
51.76712328767123,82.18444850493074,50.97833682907619,133.16278533400694,149.64115251701983
52.2648401826484,82.42431335178156,51.37607655910758,133.80038991088915,150.3275417954689
52.762557077625566,82.66227115954422,51.77295832245922,134.43522948200342,151.01081239344504
53.26027397260274,82.89835517791295,52.16899034237957,135.06734552029252,151.6910114055317
53.757990867579906,83.13259777078616,52.564180687168886,135.69677845795505,152.3681847452985
54.25570776255707,83.36503044784683,52.95853727451406,136.3235677223609,153.04237718597585
54.75342465753425,83.59568389473816,53.352067875662584,136.94775177040074,153.7136323993531
55.25114155251141,83.82458800190864,53.744780119443725,137.56936812135237,154.38199299300783
55.74885844748858,84.05177189219677,54.13668149614401,138.18845338834078,155.0475005459403
56.24657534246575,84.2772639472222,54.527779361244654,138.80504330846685,155.71019564270634
56.74429223744292,84.5010918326434,54.91808093902382,139.4191727716672,156.37011790611584
57.24200913242009,84.72328252234104,55.30759332603297,140.03087584837402,157.0273060285743
57.73972602739726,84.94386232158229,55.69632349445247,140.64018581603477,157.68179780213225
58.23744292237443,85.16285688921522,56.084278295328424,141.24713518454365,158.33363014731185
58.735159817351594,85.38029125894485,56.47146446170054,141.8517557206454,158.98283914076146
59.23287671232876,85.59618985973356,56.85788861162204,142.4540784713556,159.62946004180714
59.730593607305934,85.8105765353705,57.24355725107791,143.0541337864484,160.27352731794255
60.2283105022831,86.02347456324998,57.6284767768052,143.65195134005518,160.91507466931654
60.72602739726027,86.23490667239747,58.01265347901998,144.24756015141745,161.55413505226355
61.22374429223744,86.44489506077826,58.39609354405206,144.84098860483033,162.19074070191573
61.72146118721461,86.65346141192464,58.778803056899264,145.43226446882392,162.82492315395783
62.219178082191775,86.86062691091178,59.16078800369132,146.0214149146031,163.45671326553665
